constraint_id,vendor,endpoint,type,assertion,description,source_url,url_kind,page_captured,verdict_page_supports,verdict_is_documentation,note
milvus_assert_insert_success_001,milvus,entities+insert,,,Inserting valid data succeeds,https://milvus.io/docs/schema.md,vendor-documentation,yes,,,
milvus_assert_search_empty_001,milvus,entities+search,,,Searching empty collection returns empty results,https://milvus.io/docs/single-vector-search.md,vendor-documentation,yes,,,
milvus_behavioral_collections_create_001,milvus,collections+create,,,Create collection returns 200 on success,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_behavioral_collections_create_002,milvus,collections+create,,,Create collection returns 400 on invalid parameters or duplicate name,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_behavioral_collections_describe_001,milvus,collections+describe,,,Describe collection returns collection schema on success,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_behavioral_collections_drop_001,milvus,collections+drop,,,"Drop collection returns 200 on success, 404 if not found",https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md,vendor-documentation,yes,,,
milvus_behavioral_collections_get_stats_001,milvus,collections+get_stats,,,Get stats returns row count and statistics,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_collections_has_001,milvus,collections+has,,,Has collection returns boolean indicating existence,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_collections_load_001,milvus,collections+load,,,Load collection returns 400 if no index exists,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Load.md,vendor-documentation,yes,,,
milvus_behavioral_entities_delete_001,milvus,entities+delete,,,Delete returns 400 on invalid filter expression,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_entities_get_001,milvus,entities+get,,,Get entities returns 400 if id type mismatches collection schema,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Get.md,vendor-documentation,yes,,,
milvus_behavioral_entities_insert_001,milvus,entities+insert,,,Insert returns insert count and IDs on success,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_entities_insert_002,milvus,entities+insert,,,Insert returns 400 on schema mismatch,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_entities_search_001,milvus,entities+search,,,Search returns 400 on vector dimension mismatch,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,vendor-documentation,yes,,,
milvus_behavioral_hybrid_search_001,milvus,entities+hybrid_search,,,Hybrid search returns 400 on invalid rerank strategy,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_indexes_create_001,milvus,indexes+create,,,Create index returns 400 on invalid index type,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_insert_then_get_001,milvus,entities+insert,,,Inserted entities should be retrievable,https://milvus.io/docs/insert-update.md,vendor-documentation,yes,,,
milvus_behavioral_users_create_001,milvus,users+create,,,Create user returns 400 if password too weak or user already exists,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_behavioral_users_update_password_001,milvus,users+update_password,,,Update password returns 400 if current password is wrong or new password too weak,https://milvus.io/api-reference/restful/v2.6.x/v2/User%20(v2)/Update%20Password.md,vendor-documentation,yes,,,
milvus_metric_cosine_range_001,milvus,entities+search,state_constraint,"metric_type == COSINE implies distance = 1 - cosine_similarity in [0, 2]; identical vectors distance == 0","COSINE distance = 1 - cosine similarity; similarity in [-1,1] so identical vectors distance=0, range [0,2]",https://raw.githubusercontent.com/milvus-io/milvus-docs/ebb6de53/site/en/userGuide/search-query-get/metric.md,doc-markdown-raw,yes,,,
milvus_range_collections_create_001,milvus,collections+create,range_constraint,1 <= dimension <= 32768,dimension must be 1-32768 for FloatVector,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_range_collections_create_002,milvus,collections+create,range_constraint,shardsNum >= 1,shardsNum must be >= 1,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_range_collections_create_003,milvus,collections+create,range_constraint,max_length >= 1 && max_length <= 65535,VarChar max_length must be between 1 and 65535,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_range_collections_create_004,milvus,collections+create,range_constraint,ttlSeconds >= 0,ttlSeconds must be >= 0,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_range_collections_create_005,milvus,collections+create,range_constraint,1 <= VarChar.max_length <= 65535,VarChar max_length must be 1-65535,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_range_entities_insert_001,milvus,entities+insert,range_constraint,len(data) <= 100,Max 100 entities per single insert call via REST API,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_entities_insert_002,milvus,entities+insert,range_constraint,vector dimension == collection dimension,Vector dimension must match collection dimension,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_entities_query_001,milvus,entities+query,range_constraint,limit + offset < 16384,limit + offset must be < 16384,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_entities_search_001,milvus,entities+search,range_constraint,vector dimension == collection dimension,vector dimensions in data must match collection vector dimension,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,vendor-documentation,yes,,,
milvus_range_entities_search_002,milvus,entities+search,range_constraint,limit + offset < 16384,limit + offset must be < 16384,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,vendor-documentation,yes,,,
milvus_range_hnsw_ef_001,milvus,entities+search,range_constraint,"ef in [1, 2147483647]",ef parameter for HNSW search,https://milvus.io/docs/index.md,vendor-documentation,NO,,,
milvus_range_hybrid_search_001,milvus,entities+hybrid_search,range_constraint,total results < 16384,total results must be < 16384,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_indexes_create_001,milvus,indexes+create,range_constraint,nlist >= 1,nlist must be >= 1,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_indexes_create_002,milvus,indexes+create,range_constraint,4 <= M <= 64,M (HNSW) must be 4-64,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_indexes_create_003,milvus,indexes+create,range_constraint,efConstruction >= 1,efConstruction >= 1,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_range_ivf_flat_nprobe_001,milvus,entities+search,range_constraint,"nprobe in [1, nlist]",nprobe parameter for IVF_FLAT search,https://milvus.io/docs/index.md,vendor-documentation,NO,,,
milvus_range_ivf_nprobe_001,milvus,entities+search,range_constraint,nprobe >= 1 AND nprobe <= nlist,"IVF nprobe must be in range [1, nlist]",https://milvus.io/docs/index.md,vendor-documentation,NO,,,
milvus_range_ivf_pq_nprobe_001,milvus,entities+search,range_constraint,"nprobe in [1, nlist]",nprobe parameter for IVF_PQ search,https://milvus.io/docs/index.md,vendor-documentation,NO,,,
