constraint_id,source_url,terms,found,missing_terms
milvus_assert_insert_success_001,https://milvus.io/docs/schema.md,3,0,inserting succeeds valid
milvus_assert_search_empty_001,https://milvus.io/docs/single-vector-search.md,4,2,empty searching
milvus_behavioral_collections_create_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,3,3,
milvus_behavioral_collections_create_002,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,5,3,duplicate invalid
milvus_behavioral_collections_describe_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,4,4,
milvus_behavioral_collections_drop_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md,3,2,found
milvus_behavioral_collections_get_stats_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,0,count statistics stats
milvus_behavioral_collections_has_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,4,0,boolean collection existence indicating
milvus_behavioral_collections_load_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Load.md,3,2,exists
milvus_behavioral_entities_delete_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,4,1,expression filter invalid
milvus_behavioral_entities_get_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Get.md,4,2,mismatches schema
milvus_behavioral_entities_insert_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,1,count success
milvus_behavioral_entities_insert_002,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,1,mismatch schema
milvus_behavioral_entities_search_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,4,2,dimension mismatch
milvus_behavioral_hybrid_search_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,5,1,hybrid invalid rerank strategy
milvus_behavioral_indexes_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,1,index invalid
milvus_behavioral_insert_then_get_001,https://milvus.io/docs/insert-update.md,3,2,retrievable
milvus_behavioral_users_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,4,1,already exists password
milvus_behavioral_users_update_password_001,https://milvus.io/api-reference/restful/v2.6.x/v2/User%20(v2)/Update%20Password.md,4,2,current wrong
milvus_metric_cosine_range_001,https://raw.githubusercontent.com/milvus-io/milvus-docs/ebb6de53/site/en/userGuide/search-query-get/metric.md,9,6,cosine_similarity implies metric_type
milvus_range_collections_create_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,2,2,
milvus_range_collections_create_002,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,1,0,shardsnum
milvus_range_collections_create_003,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,2,2,
milvus_range_collections_create_004,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,1,0,ttlseconds
milvus_range_collections_create_005,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,2,2,
milvus_range_entities_insert_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,2,single
milvus_range_entities_insert_002,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,4,1,collection dimension match
milvus_range_entities_query_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,2,0,limit offset
milvus_range_entities_search_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,5,2,dimension dimensions match
milvus_range_entities_search_002,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,2,2,
milvus_range_hnsw_ef_001,https://milvus.io/docs/index.md,2,,PAGE NOT CAPTURED
milvus_range_hybrid_search_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,2,0,results total
milvus_range_indexes_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,1,0,nlist
milvus_range_indexes_create_002,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,0,0,
milvus_range_indexes_create_003,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,1,0,efconstruction
milvus_range_ivf_flat_nprobe_001,https://milvus.io/docs/index.md,5,,PAGE NOT CAPTURED
milvus_range_ivf_nprobe_001,https://milvus.io/docs/index.md,3,,PAGE NOT CAPTURED
milvus_range_ivf_pq_nprobe_001,https://milvus.io/docs/index.md,5,,PAGE NOT CAPTURED
milvus_range_ivf_sq8_nprobe_001,https://milvus.io/docs/index.md,5,,PAGE NOT CAPTURED
milvus_range_scann_nprobe_001,https://milvus.io/docs/index.md,5,,PAGE NOT CAPTURED
milvus_range_users_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,2,0,characters password
milvus_state_collections_create_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,7,3,atomic creation dbname unique
milvus_state_collections_drop_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md,4,1,deleted irreversible permanently
milvus_state_collections_rename_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Rename.md,5,1,already exist exists source
milvus_state_databases_drop_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,6,2,_default cannot database empty
milvus_state_entities_delete_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,6,2,cannot deleted irreversible recovered
milvus_state_entities_insert_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,7,1,collection disabled exist exists loaded primary
milvus_state_entities_search_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,6,3,exist exists loaded
milvus_state_entities_upsert_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,10,2,collection defined entity exists inserted primary update updated
milvus_state_entities_upsert_002,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,6,0,entity existing match matches primary updates
milvus_state_group_by_field_001,https://raw.githubusercontent.com/milvus-io/milvus-docs/99af7351/site/en/userGuide/search-query-get/grouping-search.md,5,4,refers
milvus_state_indexes_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,4,0,collection exist exists schema
milvus_state_insert_collection_001,https://milvus.io/docs/schema.md,6,2,exist existing insert requires
milvus_state_jobs_import_create_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Import%20(v2)/Create.md,7,2,before exist object staged storage
milvus_state_search_load_001,https://milvus.io/docs/single-vector-search.md,5,3,loaded requires
milvus_state_search_requires_load_001,https://milvus.io/docs/single-vector-search.md,6,3,load_state loaded searching
milvus_type_collections_create_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,2,1,string
milvus_type_collections_create_002,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,2,0,cosine metrictype
milvus_type_collections_create_003,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,5,0,bounded consistencylevel eventually session strong
milvus_type_collections_drop_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md,3,2,string
milvus_type_collections_load_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Load.md,3,2,string
milvus_type_collections_rename_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Rename.md,5,3,string strings
milvus_type_entities_delete_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,5,0,boolean expression filter string valid
milvus_type_entities_get_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Get.md,5,1,match matches primary varchar
milvus_type_entities_insert_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,5,0,collection contain match matching schema
milvus_type_entities_query_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,5,0,boolean expression filter string valid
milvus_type_entities_search_001,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,8,5,arrays integer positive
milvus_type_entities_upsert_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,1,contains primary
milvus_type_hybrid_search_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,6,1,array contain elements hybrid least
milvus_type_indexes_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,1,index_type valid
milvus_type_request_timeout_001,https://milvus.io/api-reference/restful/v2.3.x/v2/Vector%20(v2)/Query.md,6,,PAGE NOT CAPTURED
milvus_type_users_create_001,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,3,1,empty string
qdrant_behavioral_001,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,6,2,already exists invalid success
qdrant_behavioral_002,https://api.qdrant.tech/v-1-18-x/api-reference,3,1,found success
qdrant_behavioral_003,https://api.qdrant.tech/v-1-18-x/api-reference/collections/get-collection,2,1,found
qdrant_behavioral_004,https://api.qdrant.tech/v-1-18-x/api-reference,2,0,exists result
qdrant_behavioral_005,https://api.qdrant.tech/v-1-18-x/api-reference/points/upsert-points,3,0,error success validation
qdrant_behavioral_006,https://api.qdrant.tech/v-1-18-x/api-reference,5,1,matching missing omitted silently
qdrant_behavioral_007,https://api.qdrant.tech/v-1-18-x/api-reference,4,1,filter neither success
qdrant_behavioral_008,https://api.qdrant.tech/v-1-18-x/api-reference/search/points,6,3,descending invalid ranked
qdrant_behavioral_009,https://api.qdrant.tech/v-1-18-x/api-reference,3,1,next_page_offset pagination
qdrant_behavioral_010,https://api.qdrant.tech/v-1-18-x/api-reference,2,1,result
qdrant_behavioral_011,https://api.qdrant.tech/v-1-18-x/api-reference,7,2,multi pipeline prefetch result stage
qdrant_behavioral_012,https://api.qdrant.tech/v-1-18-x/api-reference,2,1,ranked
qdrant_behavioral_013,https://api.qdrant.tech/v-1-18-x/api-reference,2,0,invalid success
qdrant_behavioral_014,https://api.qdrant.tech/v-1-18-x/api-reference,3,1,found success
qdrant_behavioral_015,https://api.qdrant.tech/v-1-18-x/api-reference,3,0,invalid operations success
qdrant_behavioral_016,https://api.qdrant.tech/v-1-18-x/api-reference/points/set-payload,3,2,success
qdrant_behavioral_017,https://api.qdrant.tech/v-1-18-x/api-reference,1,1,
qdrant_range_create_collection_001,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,2,1,shard_number
qdrant_range_create_collection_002,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,2,1,replication_factor
qdrant_range_create_collection_003,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,2,1,write_consistency_factor
qdrant_range_create_collection_004,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,2,2,
qdrant_range_query_points_008,https://api.qdrant.tech/v-1-18-x/api-reference,3,1,endpoint limit
qdrant_range_recommend_009,https://api.qdrant.tech/v-1-18-x/api-reference,4,0,average_vector best_score strategy sum_scores
qdrant_range_scroll_points_005,https://api.qdrant.tech/v-1-18-x/api-reference,2,0,adjustable limit
qdrant_range_search_groups_007,https://api.qdrant.tech/v-1-18-x/api-reference,2,0,group_size limit
qdrant_range_search_points_006,https://api.qdrant.tech/v-1-18-x/api-reference/search/points,4,0,applicable exact hnsw_ef parameter
qdrant_state_batch_update_007,https://api.qdrant.tech/v-1-18-x/api-reference,5,2,atomically executed operations
qdrant_state_count_points_008,https://api.qdrant.tech/v-1-18-x/api-reference,4,0,exact performs segment statistics
qdrant_state_create_collection_001,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,19,9,after atomic exists fully initialized insert operations ready submitted without
qdrant_state_create_index_011,https://api.qdrant.tech/v-1-18-x/api-reference,9,3,after applies async asynchronous built creation
qdrant_state_delete_collection_003,https://api.qdrant.tech/v-1-18-x/api-reference,7,1,deletes deletion destructive operation permanently removes
qdrant_state_delete_points_005,https://api.qdrant.tech/v-1-18-x/api-reference,4,1,atomic deletion matched
qdrant_state_query_points_010,https://api.qdrant.tech/v-1-18-x/api-reference,7,2,combined execute final prefetch queries
qdrant_state_remove_peer_013,https://api.qdrant.tech/v-1-18-x/api-reference,5,1,destructive force operation unreachable
qdrant_state_search_points_009,https://api.qdrant.tech/v-1-18-x/api-reference/search/points,7,1,accurate approximate brute exact force performs
qdrant_state_set_payload_006,https://api.qdrant.tech/v-1-18-x/api-reference/points/set-payload,5,2,atomic matched receive
qdrant_state_update_aliases_012,https://api.qdrant.tech/v-1-18-x/api-reference,6,0,alias applied atomically operations request single
qdrant_state_update_collection_002,https://api.qdrant.tech/v-1-18-x/api-reference,9,1,blocking blocks complete current operation optimizations until waits
qdrant_state_upsert_points_004,https://api.qdrant.tech/v-1-18-x/api-reference/points/upsert-points,5,3,atomic inserted
qdrant_type_create_collection_001,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,2,1,string
qdrant_type_lookup_from_001,https://github.com/qdrant/qdrant/blob/v1.18.2/docs/redoc/master/openapi.json,8,5,existent reference registry
qdrant_type_overwrite_payload_004,https://api.qdrant.tech/v-1-18-x/api-reference,6,2,entire merge merged replaces
qdrant_type_update_collection_002,https://api.qdrant.tech/v-1-18-x/api-reference,3,1,least optional
qdrant_type_upsert_points_003,https://api.qdrant.tech/v-1-18-x/api-reference/points/upsert-points,9,4,array floats integer object string
weaviate_behavioral_batch_reject_partial_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,4,4,
weaviate_behavioral_index_update_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,4,3,downgrading
weaviate_behavioral_objects_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,4,3,overwrite
weaviate_behavioral_objects_create_002,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,4,exceeding
weaviate_behavioral_post_object_exists_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,7,7,
weaviate_behavioral_schema_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,5,
weaviate_behavioral_schema_create_002,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,6,5,exceeding
weaviate_behavioral_tenants_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,4,exceeding
weaviate_range_batch_delete_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,5,
weaviate_range_objects_list_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,4,3,exceed
weaviate_range_replication_scale_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,2,2,
weaviate_range_schema_replication_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,3,3,
weaviate_state_batch_idempotent_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,8,8,
weaviate_state_batch_objects_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,10,9,overwrites
weaviate_state_batch_reject_all_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,10,9,rejects
weaviate_state_index_update_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,12,12,
weaviate_state_objects_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,8,8,
weaviate_state_objects_list_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,6,4,cursor implies
weaviate_state_schema_delete_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,11,11,
weaviate_state_schema_update_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,6,5,rename
weaviate_state_tenants_delete_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,7,7,
weaviate_type_backups_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,6,6,
weaviate_type_batch_references_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,8,8,
weaviate_type_graphql_001,https://weaviate.io/developers/weaviate/api/graphql,7,4,exactly match schema
weaviate_type_index_update_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,6,6,
weaviate_type_namespaces_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,11,10,chars
weaviate_type_object_id_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,5,
weaviate_type_object_vector_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,4,floats
weaviate_type_objects_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,3,3,
weaviate_type_objects_create_002,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,7,6,takes
weaviate_type_references_add_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,5,
weaviate_type_schema_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,4,4,
weaviate_type_schema_create_002,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,5,
weaviate_type_schema_create_003,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,9,9,
weaviate_type_tenants_create_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,5,5,
weaviate_type_tenants_update_001,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,6,6,
