repo,issue,group,category,title,reported_version,fix_pr,merged_at,presence_version,warning,note
milvus,47763,A,TP_FIXED_PR,[Bug]:  Field name validation missing - accepts invalid field names causing data,v2.6.10,,,v2.6.10,,无 merged fix-PR(1候选) → 保守取报告版本; 1 个未merge PR 见 pr-evidence.json
milvus,49843,A,TP_FIXED_PR,[Bug]: REST API v2 silently drops negative collection.ttl.seconds on collection ,v2.6.16,milvus-io/milvus#50731,2026-06-26T02:24:27Z,v2.6.18,,fix-PR(code) merged_at 前最近 server release; 1 个未merge PR 见 pr-evidence.json
milvus,49890,A,TP_FIXED_PR,[Bug]: REST API v2 accepts non-integer `Request-Timeout` header values,v2.6.16,milvus-io/milvus#50195,2026-06-01T06:16:15Z,v2.6.17,,fix-PR(code) merged_at 前最近 server release
milvus,50355,A,TP_FIXED_PR,[Bug]: Upsert fails on autoID=true collections despite documentation claiming su,v2.6.17,milvus-io/milvus-docs#3513,2026-06-08T01:54:53Z,v2.6.18,,fix-PR(doc) merged_at 前最近 server release
milvus,51084,A,TP_FIXED_PR,[Bug]: REST API silently substitutes invalid `consistencyLevel` enum value with ,v2.6.19,milvus-io/milvus#51088,2026-07-08T09:20:35Z,v2.6.19,,fix-PR(code) merged_at 前最近 server release
milvus,51085,A,TP_FIXED_PR,[Bug]: REST API silently substitutes invalid `vectorFieldType` enum value with d,v2.6.19,milvus-io/milvus#51088,2026-07-08T09:20:35Z,v2.6.19,,fix-PR(code) merged_at 前最近 server release
milvus,52307,A,TP_FIXED_PR,[Bug]: entities/upsert JSON field — plain string overwrites valid JSON; written ,v3.0.0,milvus-io/milvus#52261,2026-08-11T06:54:23Z,v3.0.0,,fix-PR(code) merged_at 前最近 server release
milvus,52309,A,TP_FIXED_PR,[Bug]: REST API v2 `entities/search` accepts `group_size=0` and `-1` (gRPC rejec,v3.0.0,milvus-io/milvus#52346,2026-08-11T16:40:52Z,v3.0.0,,fix-PR(code) merged_at 前最近 server release
milvus,52311,A,TP_FIXED_PR,[Bug]: REST API v2 silently accepts `group_by_field` on vector fields (gRPC reje,v3.0.0,milvus-io/milvus#52346,2026-08-11T16:40:52Z,v3.0.0,,fix-PR(code) merged_at 前最近 server release
milvus,52313,A,TP_FIXED_PR,[Bug]: entities/insert JSON field — plain strings stored in inconsistent formats,v3.0.0,milvus-io/milvus#52261,2026-08-11T06:54:23Z,v3.0.0,,fix-PR(code) merged_at 前最近 server release
milvus,52315,A,TP_FIXED_PR,[Bug]: REST API v2 `entities/insert` accepts string-encoded vector values (gRPC ,v3.0.0,milvus-io/milvus#52261,2026-08-11T06:54:23Z,v3.0.0,,fix-PR(code) merged_at 前最近 server release
milvus,52325,A,TP_FIXED_PR,[Bug]: REST v2 entities/search silently ignores strictGroupSize,v3.0.0,milvus-io/milvus#52346,2026-08-11T16:40:52Z,v3.0.0,,fix-PR(code) merged_at 前最近 server release
qdrant,9017,A,TP_FIXED_PR,hnsw_ef accepts 0,v1.18.0,qdrant/qdrant#9320,2026-06-08T16:09:52Z,v1.18.2,,fix-PR(code) merged_at 前最近 server release; 2 个未merge PR 见 pr-evidence.json
qdrant,9039,A,TP_FIXED_PR,Bug: Async upsert silently discards dimension-mismatched vectors (Poor Diagnosti,v1.18.0,qdrant/qdrant#9058,2026-05-16T18:18:56Z,v1.18.0,,fix-PR(code) merged_at 前最近 server release
qdrant,9045,A,TP_FIXED_PR,Bug: Empty vector `[]` upsert with `wait=false` can trigger server panic (zero-l,v1.12.1,qdrant/qdrant#9070,2026-05-19T13:21:40Z,v1.18.0,,fix-PR(code) merged_at 前最近 server release
qdrant,9149,A,TP_FIXED_PR,shard_number=0 and negative values accepted during collection creation,v1.18.1,qdrant/qdrant#9178,2026-06-05T14:59:56Z,v1.18.2,,fix-PR(code) merged_at 前最近 server release
